2020-01-22,January,2020,1
2020-01-23,January,2020,2
2020-01-24,January,2020,3
2020-01-25,January,2020,4
2020-01-26,January,2020,5
2020-01-27,January,2020,6
2020-01-28,January,2020,7
2020-01-29,January,2020,8
2020-01-30,January,2020,9
2020-01-31,January,2020,10
2020-02-01,February,2020,11
2020-02-02,February,2020,12
2020-02-03,February,2020,13
2020-02-04,February,2020,14
2020-02-05,February,2020,15
2020-02-06,February,2020,16
2020-02-07,February,2020,17
2020-02-08,February,2020,18
2020-02-09,February,2020,19
2020-02-10,February,2020,20
2020-02-11,February,2020,21
2020-02-12,February,2020,22
2020-02-13,February,2020,23
2020-02-14,February,2020,24
2020-02-15,February,2020,25
2020-02-16,February,2020,26
2020-02-17,February,2020,27
2020-02-18,February,2020,28
2020-02-19,February,2020,29
2020-02-20,February,2020,30
2020-02-21,February,2020,31
2020-02-22,February,2020,32
2020-02-23,February,2020,33
2020-02-24,February,2020,34
2020-02-25,February,2020,35
2020-02-26,February,2020,36
2020-02-27,February,2020,37
2020-02-28,February,2020,38
2020-02-29,February,2020,39
2020-03-01,March,2020,40
2020-03-02,March,2020,41
2020-03-03,March,2020,42
2020-03-04,March,2020,43
2020-03-05,March,2020,44
2020-03-06,March,2020,45
2020-03-07,March,2020,46
2020-03-08,March,2020,47
2020-03-09,March,2020,48
2020-03-10,March,2020,49
2020-03-11,March,2020,50
2020-03-12,March,2020,51
2020-03-13,March,2020,52
2020-03-14,March,2020,53
2020-03-15,March,2020,54
2020-03-16,March,2020,55
2020-03-17,March,2020,56
2020-03-18,March,2020,57
2020-03-19,March,2020,58
2020-03-20,March,2020,59
2020-03-21,March,2020,60
2020-03-22,March,2020,61
2020-03-23,March,2020,62
2020-03-24,March,2020,63
2020-03-25,March,2020,64
2020-03-26,March,2020,65
2020-03-27,March,2020,66
2020-03-28,March,2020,67
2020-03-29,March,2020,68
2020-03-30,March,2020,69
2020-03-31,March,2020,70
2020-04-01,April,2020,71
2020-04-02,April,2020,72
2020-04-03,April,2020,73
2020-04-04,April,2020,74
2020-04-05,April,2020,75
2020-04-06,April,2020,76
2020-04-07,April,2020,77
2020-04-08,April,2020,78
2020-04-09,April,2020,79
2020-04-10,April,2020,80
2020-04-11,April,2020,81
2020-04-12,April,2020,82
2020-04-13,April,2020,83
2020-04-14,April,2020,84
2020-04-15,April,2020,85
2020-04-16,April,2020,86
2020-04-17,April,2020,87
2020-04-18,April,2020,88
2020-04-19,April,2020,89
2020-04-20,April,2020,90
2020-04-21,April,2020,91
2020-04-22,April,2020,92
2020-04-23,April,2020,93
2020-04-24,April,2020,94
2020-04-25,April,2020,95
2020-04-26,April,2020,96
2020-04-27,April,2020,97
2020-04-28,April,2020,98
2020-04-29,April,2020,99
2020-04-30,April,2020,100
2020-05-01,May,2020,101
2020-05-02,May,2020,102
