Liechtenstein,LIE,Europe,38137.0,82.49,98,Small
Lithuania,LTU,Europe,2722291.0,75.93,99,Medium
Luxembourg,LUX,Europe,625976.0,82.25,100,Small
Madagascar,MDG,Africa,27691019.0,67.04,101,Medium
Malawi,MWI,Africa,19129955.0,64.26,102,Medium
Malaysia,MYS,Asia,32365998.0,76.16,103,Medium
Maldives,MDV,Asia,540542.0,78.92,104,Small
Mali,MLI,Africa,20250834.0,59.31,105,Medium
Malta,MLT,Europe,441539.0,82.53,106,Small
Marshall Islands,MHL,Oceania,59194.0,73.7,107,Small
Mauritania,MRT,Africa,4649660.0,64.92,108,Medium
Mauritius,MUS,Africa,1271767.0,74.99,109,Small
Mexico,MEX,North America,128932753.0,75.05,110,Large
Moldova,MDA,Europe,4033963.0,71.9,111,Medium
Monaco,MCO,Europe,39244.0,86.75,112,Small
Mongolia,MNG,Asia,3278292.0,69.87,113,Medium
Montenegro,MNE,Europe,628062.0,76.88,114,Small
Morocco,MAR,Africa,36910558.0,76.68,115,Medium
Mozambique,MOZ,Africa,31255435.0,60.85,116,Medium
Myanmar,MMR,Asia,54409794.0,67.13,117,Large
Namibia,NAM,Africa,2540916.0,63.71,118,Medium
Nepal,NPL,Asia,29136808.0,70.78,119,Medium
Netherlands,NLD,Europe,17134873.0,82.28,120,Medium
New Zealand,NZL,Oceania,4822233.0,82.29,121,Medium
Nicaragua,NIC,North America,6624554.0,74.48,122,Medium
Niger,NER,Africa,24206636.0,62.42,123,Medium
Nigeria,NGA,Africa,206139587.0,54.69,124,Large
North Macedonia,MKD,Europe,2083380.0,75.8,125,Medium
Norway,NOR,Europe,5421242.0,82.4,126,Medium
Oman,OMN,Asia,5106622.0,77.86,127,Medium
Pakistan,PAK,Asia,220892331.0,67.27,128,Large
Palestine,PSE,Asia,5101416.0,74.05,129,Medium
Panama,PAN,North America,4314768.0,78.51,130,Medium
Papua New Guinea,PNG,Oceania,8947027.0,64.5,131,Medium
Paraguay,PRY,South America,7132530.0,74.25,132,Medium
Peru,PER,South America,32971846.0,76.74,133,Medium
Philippines,PHL,Asia,109581085.0,71.23,134,Large
Poland,POL,Europe,37846605.0,78.73,135,Medium
Portugal,PRT,Europe,10196707.0,82.05,136,Medium
Qatar,QAT,Asia,2881060.0,80.23,137,Medium
Romania,ROU,Europe,19237682.0,76.05,138,Medium
Russia,RUS,Europe,145934460.0,72.58,139,Large
Rwanda,RWA,Africa,12952209.0,69.02,140,Medium
Saint Kitts and Nevis,KNA,North America,53192.0,76.23,141,Small
Saint Lucia,LCA,North America,183629.0,76.2,142,Small
Saint Vincent and the Grenadines,VCT,North America,110947.0,72.53,143,Small
Samoa,WSM,Oceania,198410.0,73.32,144,Small
San Marino,SMR,Europe,33938.0,84.97,145,Small
Sao Tome and Principe,STP,Africa,219161.0,70.39,146,Small
Saudi Arabia,SAU,Asia,34813867.0,75.13,147,Medium
Senegal,SEN,Africa,16743930.0,67.94,148,Medium
Serbia,SRB,Europe,6804596.0,76.0,149,Medium
Seychelles,SYC,Africa,98340.0,73.4,150,Small
Sierra Leone,SLE,Africa,7976985.0,54.7,151,Medium
Singapore,SGP,Asia,5850343.0,83.62,152,Medium
Slovakia,SVK,Europe,5459643.0,77.54,153,Medium
Slovenia,SVN,Europe,2078932.0,81.32,154,Medium
Solomon Islands,SLB,Oceania,686878.0,73.0,155,Small
Somalia,SOM,Africa,15893219.0,57.4,156,Medium
South Africa,ZAF,Africa,59308690.0,64.13,157,Large
South Korea,KOR,Asia,51269183.0,83.03,158,Large
South Sudan,SSD,Africa,11193729.0,57.85,159,Medium
Spain,ESP,Europe,46754783.0,83.56,160,Large
Sri Lanka,LKA,Asia,21413250.0,76.98,161,Medium
Sudan,SDN,Africa,43849269.0,65.31,162,Large
Suriname,SUR,South America,586634.0,71.68,163,Small
Sweden,SWE,Europe,10099270.0,82.8,164,Medium
Switzerland,CHE,Europe,8654618.0,83.78,165,Medium
Syria,SYR,Asia,17500657.0,72.7,166,Medium
Taiwan,TWN,Asia,23816775.0,80.46,167,Medium
Tajikistan,TJK,Asia,9537642.0,71.1,168,Medium
Tanzania,TZA,Africa,59734213.0,65.46,169,Large
Thailand,THA,Asia,69799978.0,77.15,170,Large
Timor,TLS,Asia,1318442.0,69.5,171,Small
Togo,TGO,Africa,8278737.0,61.04,172,Medium
Trinidad and Tobago,TTO,North America,1399491.0,73.51,173,Small
Tunisia,TUN,Africa,11818618.0,76.7,174,Medium
Turkey,TUR,Asia,84339067.0,77.69,175,Large
Uganda,UGA,Africa,45741000.0,63.37,176,Large
Ukraine,UKR,Europe,43733759.0,72.06,177,Large
United Arab Emirates,ARE,Asia,9890400.0,77.97,178,Medium
United Kingdom,GBR,Europe,67886004.0,81.32,179,Large
United States,USA,North America,331002647.0,78.86,180,Large
Uruguay,URY,South America,3473727.0,77.91,181,Medium
Uzbekistan,UZB,Asia,33469199.0,71.72,182,Medium
Vanuatu,VUT,Oceania,307150.0,70.47,183,Small
Vatican,VAT,Europe,809.0,75.12,184,Small
Venezuela,VEN,South America,28435943.0,72.06,185,Medium
Vietnam,VNM,Asia,97338583.0,75.4,186,Large
Yemen,YEM,Asia,29825968.0,66.12,187,Medium
Zambia,ZMB,Africa,18383956.0,63.89,188,Medium
Zimbabwe,ZWE,Africa,14862927.0,61.49,189,Medium
